title,url,pageid,state,level,description,instance_of,founded,website,school_district,nces_id,postal_code,wikidata_qid,lat,lon,pageviews_60d,thumbnail,source_category
"Southwestern High School (Piasa, Illinois)","https://en.wikipedia.org/wiki/Southwestern_High_School_(Piasa,_Illinois)",45520027,Illinois,high,"Public high school in Piasa, Illinois, United States",high school,,http://www.piasabirds.net/highschool/index.html,,173150003320,,Q19599958,39.119,-90.1404,0,,"Schools in Macoupin County, Illinois"
Spoon River Valley High School,https://en.wikipedia.org/wiki/Spoon_River_Valley_High_School,9683757,Illinois,high,"Comprehensive public high school in London Mills, Fulton & Knox Counties, Illinois, USA",high school,,http://spoon-river.k12.il.us/,,173696003809,61544,Q17062489,40.70271,-90.15587,0,,"Schools in Fulton County, Illinois"
Springfield High School (Illinois),https://en.wikipedia.org/wiki/Springfield_High_School_(Illinois),7855517,Illinois,high,Public high school in Illinois,high school,1857,https://www.sps186.org/o/springfield,Springfield School District 186,173708003838,62704,Q7580966,,,0,,"Schools in Springfield, Illinois"
Springfield Southeast High School,https://en.wikipedia.org/wiki/Springfield_Southeast_High_School,10095797,Illinois,high,"Comprehensive public high school in Springfield, Illinois, United States",high school,1967,http://www.springfield.k12.il.us/schools/southeast/,Springfield School District 186,173708003839,62703,Q7581054,39.77861111,-89.62083333,0,,"Schools in Springfield, Illinois"
St. Anne Community High School,https://en.wikipedia.org/wiki/St._Anne_Community_High_School,44655139,Illinois,high,"School in Saint Anne, Illinois, United States",high school,,,,173714003850,,Q18648823,41.0202,-87.7224,0,,"Schools in Kankakee County, Illinois"
St. Anthony High School (Illinois),https://en.wikipedia.org/wiki/St._Anthony_High_School_(Illinois),11339176,Illinois,high,"Private, parochial school in Effingham, Illinois, The United States of America",high school,1912,http://www.stanthony.com/ourschools/highschool/,,,62401,Q7587092,39.12861111,-88.53888889,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Sahs1.jpg/330px-Sahs1.jpg,"Schools in Effingham County, Illinois"
St. Augustine College (Illinois),https://en.wikipedia.org/wiki/St._Augustine_College_(Illinois),12655165,Illinois,,"Private university in Chicago, Illinois, US",university,1980,http://www.staugustine.edu,,,60640-3593,Q7587180,41.97213889,-87.66372222,0,,Bilingual schools in the United States
St. Bede Academy,https://en.wikipedia.org/wiki/St._Bede_Academy,4585397,Illinois,high,"Private, college-preparatory school in Peru, Illinois, United States",school,1890,http://www.st-bede.com,,,61354,Q7587251,41.32166667,-89.16611111,0,,Catholic boarding schools in the United States
"St. Benedict High School (Chicago, Illinois)","https://en.wikipedia.org/wiki/St._Benedict_High_School_(Chicago,_Illinois)",11341672,Illinois,high,"Private school in Chicago, Illinois, United States",high school,1950,http://www.stbenedict.com,,,60618,Q7587266,41.9525,-87.68388889,0,,Catholic schools in Chicago
St. Charles East High School,https://en.wikipedia.org/wiki/St._Charles_East_High_School,3754944,Illinois,high,"Public secondary school in St. Charles, Illinois, USA",high school,1973,http://east.d303.org/,Community Unit School District 303,173717003858,60174,Q7587515,41.929373,-88.281466,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/East_Logo_2.png/330px-East_Logo_2.png,"Schools in Kane County, Illinois"
St. Charles North High School,https://en.wikipedia.org/wiki/St._Charles_North_High_School,5308745,Illinois,high,"Public secondary school in Red Gate Road, St. Charles, Illinois, USA",high school,2000,http://north.d303.org/,Community Unit School District 303,173717004064,60175,Q7587528,,,0,,"Schools in Kane County, Illinois"
"St. Edward Central Catholic High School (Elgin, Illinois)","https://en.wikipedia.org/wiki/St._Edward_Central_Catholic_High_School_(Elgin,_Illinois)",11295794,Illinois,high,"Private school in Elgin, Illinois, United States",high school,1941,http://www.stedhs.org,,,60123,Q7587811,42.0325,-88.28888889,0,,"Private schools in Elgin, Illinois"
"St. Francis High School (Wheaton, Illinois)","https://en.wikipedia.org/wiki/St._Francis_High_School_(Wheaton,_Illinois)",2980845,Illinois,high,"School in Wheaton, Illinois, United States",high school,1957,https://www.sfhscollegeprep.org/,,,60187,Q7587961,41.85666667,-88.14055556,0,,"Schools in DuPage County, Illinois"
"St. Francis de Sales High School (Chicago, Illinois)","https://en.wikipedia.org/wiki/St._Francis_de_Sales_High_School_(Chicago,_Illinois)",11342628,Illinois,high,"Private, coed school in Chicago, Illinois, United States",high school,1893,http://www.sfdshs.org,,,60617,Q7588042,,,0,,Private high schools in Chicago
St. Gregory Episcopal School (Chicago),https://en.wikipedia.org/wiki/St._Gregory_Episcopal_School_(Chicago),13077869,Illinois,,"Defunct Episcopalian school in Chicago, IL, USA",school,,,,,,Q7588278,41.85241667,-87.71536111,0,,Private schools in Chicago
St. Ignatius College Prep,https://en.wikipedia.org/wiki/St._Ignatius_College_Prep,1419521,Illinois,high,"Private college-preparatory school in Chicago, Illinois, United States",private school,1870,http://www.ignatius.org,,01601838,60608-1594,Q780366,41.8675,-87.65416667,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/St_Ignatius_School_Chicago_IL.jpg/330px-St_Ignatius_School_Chicago_IL.jpg,Jesuit high schools in the United States
"St. Joseph High School (Westchester, Illinois)","https://en.wikipedia.org/wiki/St._Joseph_High_School_(Westchester,_Illinois)",5561576,Illinois,high,"Private school in Westchester, Illinois, United States",high school,1960,http://www.stjoeshs.org/,,,,Q7589329,41.849264,-87.89341,0,,Lasallian schools in the United States
St. Laurence High School,https://en.wikipedia.org/wiki/St._Laurence_High_School,7006416,Illinois,high,"Co-ed high school in Burbank, Illinois, U.S.",high school,1961,http://www.stlaurence.com/,,,60459,Q7589459,41.75388889,-87.76,0,,Boys' schools in Illinois
"St. Mary's School (Knoxville, Illinois)","https://en.wikipedia.org/wiki/St._Mary's_School_(Knoxville,_Illinois)",74941861,Illinois,,Parochial girls' school,college,1868,,,,,Q122887759,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/St._Mary%27s_School_logo_%28History_of_Knox_County%2C_Illinois%2C_1878%29.png/330px-St._Mary%27s_School_logo_%28History_of_Knox_County%2C_Illinois%2C_1878%29.png,Girls' schools in Illinois
St. Matthew Evangelical Lutheran School,https://en.wikipedia.org/wiki/St._Matthew_Evangelical_Lutheran_School,34332060,Illinois,,United States historic place,school,,,,,,Q7590612,41.85361111,-87.67861111,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/St_Matthew_Evangelical_Lutheran_School_Chicago_IL.jpg/330px-St_Matthew_Evangelical_Lutheran_School_Chicago_IL.jpg,Private schools in Chicago
St. Patrick High School (Chicago),https://en.wikipedia.org/wiki/St._Patrick_High_School_(Chicago),5876759,Illinois,high,High school in Chicago,high school,1861,http://www.stpatrick.org,,,60634,Q7591001,41.939166,-87.77472,0,,Lasallian schools in the United States
St. Rita of Cascia High School,https://en.wikipedia.org/wiki/St._Rita_of_Cascia_High_School,24558469,Illinois,high,"Private school in Chicago, Illinois, United States",high school,1905,http://www.stritahs.com,,,60620,Q7591608,41.7525,-87.685,0,,Boys' schools in Illinois
St. Sava Academy,https://en.wikipedia.org/wiki/St._Sava_Academy,40866708,Illinois,middle,Private school,school,2001,,,,,Q16951160,41.98308333,-87.82752778,0,,International schools in Illinois
"St. Teresa High School (Decatur, Illinois)","https://en.wikipedia.org/wiki/St._Teresa_High_School_(Decatur,_Illinois)",11339226,Illinois,high,"Private school in Decatur, Illinois, United States",high school,1866,http://www.st-teresahs.org/,,,62526,Q7591825,39.8725,-88.95388889,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/St.-Teresa-High-School-Decatur.jpg/330px-St.-Teresa-High-School-Decatur.jpg,"Schools in Macon County, Illinois"
St. Thomas Catholic High School for Boys,https://en.wikipedia.org/wiki/St._Thomas_Catholic_High_School_for_Boys,65429510,Illinois,high,United States historic place,school,,,,,,Q102428887,42.27472222,-89.10277778,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/St._Thomas_Catholic_High_School_for_Boys_%28Rockford%2C_IL%29.jpg/330px-St._Thomas_Catholic_High_School_for_Boys_%28Rockford%2C_IL%29.jpg,"High schools in Rockford, Illinois"
"St. Thomas More High School (Champaign, Illinois)","https://en.wikipedia.org/wiki/St._Thomas_More_High_School_(Champaign,_Illinois)",11296567,Illinois,high,"Private school in Champaign, Illinois, United States",high school,2000,http://www.hs-stm.org,,,61822,Q7591980,40.16194444,-88.27833333,0,,"Schools in Champaign County, Illinois"
St. Viator High School,https://en.wikipedia.org/wiki/St._Viator_High_School,3794187,Illinois,high,"School in Arlington Heights, Illinois, United States",high school,1961,http://www.community.saintviator.com,,,60004,Q7592043,42.09423,-87.96944,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Arlington_Heights%2C_IL%2C_USA_-_panoramio_%284%29.jpg/330px-Arlington_Heights%2C_IL%2C_USA_-_panoramio_%284%29.jpg,"Schools in Arlington Heights, Illinois"
Stark County High School,https://en.wikipedia.org/wiki/Stark_County_High_School,26028072,Illinois,high,"Public secondary school in S. Franklin Street, Toulon, Illinois, United States",high school,,http://www.stark100.com/highschool/,,173749003979,,Q7601956,41.08944444,-89.86333333,0,,"Schools in Stark County, Illinois"
Sterling High School (Illinois),https://en.wikipedia.org/wiki/Sterling_High_School_(Illinois),23755021,Illinois,high,"Public school in Sterling, Illinois, United States",high school,,,,174231004261,,Q7611420,41.80332,-89.6912,0,,"Schools in Whiteside County, Illinois"
"Stevenson High School (Lincolnshire, Illinois)","https://en.wikipedia.org/wiki/Stevenson_High_School_(Lincolnshire,_Illinois)",1247554,Illinois,high,Secondary school in the United States,high school,1965,http://www.d125.org/,,173258003385,60069,Q7615522,42.1993,-87.9455,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/StevensonHS_1.jpg/330px-StevensonHS_1.jpg,"Schools in Lake County, Illinois"
Stewardson-Strasburg High School,https://en.wikipedia.org/wiki/Stewardson-Strasburg_High_School,10940446,Illinois,high,"High school in Strasburg, Shelby County, Illinois, United States",high school,,http://www.stew-stras.org/,,173783003887,62465,Q7615679,39.3012904,-88.6174419,0,,"Schools in Shelby County, Illinois"
Stockton High School (Illinois),https://en.wikipedia.org/wiki/Stockton_High_School_(Illinois),26402679,Illinois,high,"Public secondary school in Stockton, Illinois, United States",high school,,https://www.stocktonschools.com/20311061614736480/site/default.asp,,173798003891,61085,Q7618232,42.3555,-90.0113,0,,"Schools in Jo Daviess County, Illinois"
Streamwood High School,https://en.wikipedia.org/wiki/Streamwood_High_School,5821940,Illinois,high,"Public secondary school in Streamwood, Illinois, United States",high school,1978,,Elgin Area School District U46,171371001703,60107,Q7622718,42.03023,-88.19754,0,,"Public high schools in Cook County, Illinois"
Streator Township High School,https://en.wikipedia.org/wiki/Streator_Township_High_School,27326509,Illinois,high,"Public secondary school in Streator, Illinois, United States",high school,1875,,,173810003903,,Q17039380,41.12697222,-88.83675,0,,"Schools in LaSalle County, Illinois"
Sullivan High School (Chicago),https://en.wikipedia.org/wiki/Sullivan_High_School_(Chicago),9279957,Illinois,high,"Public secondary school in Chicago, Illinois, United States",high school,1923,,Chicago Public Schools,170993001149,60626,Q7357939,42.0028,-87.6689,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Sullivan_High_School_%2824639073884%29.jpg/330px-Sullivan_High_School_%2824639073884%29.jpg,Public high schools in Chicago
"Sullivan High School (Sullivan, Illinois)","https://en.wikipedia.org/wiki/Sullivan_High_School_(Sullivan,_Illinois)",59511913,Illinois,high,"Public school in Sullivan, Moultrie, Illinois, United States",high school,,,Sullivan School District,173813003906,61951,Q60766782,39.60638889,-88.60777778,0,,Public high schools in Illinois
Sutherland Elementary School (Chicago),https://en.wikipedia.org/wiki/Sutherland_Elementary_School_(Chicago),66291879,Illinois,elementary,"Public school in Chicago, Illinois, United States",school,,,,,,Q105043598,41.7113,-87.6765,0,,Public elementary schools in Chicago
"Sycamore High School (Sycamore, Illinois)","https://en.wikipedia.org/wiki/Sycamore_High_School_(Sycamore,_Illinois)",6493123,Illinois,high,"Public secondary school in Sycamore, Illinois, United States",high school,1908,http://www.syc427.org/highschool,,173846003922,60178,Q7659584,41.98444444,-88.70305556,0,,"Schools in DeKalb County, Illinois"
Tamms Community High School,https://en.wikipedia.org/wiki/Tamms_Community_High_School,70153091,Illinois,high,"School in Tamms, Illinois, United States",high school,,,,,,Q117085831,,,0,,Public high schools in Illinois
Taylorville High School,https://en.wikipedia.org/wiki/Taylorville_High_School,22795006,Illinois,high,"Public high school in Taylorville, Illinois, U.S.",high school,,,,173870003938,,Q7690279,39.5628,-89.3035,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Taylorville_High_School_in_1913.jpg/330px-Taylorville_High_School_in_1913.jpg,"Schools in Christian County, Illinois"
Telshe Yeshiva (Chicago),https://en.wikipedia.org/wiki/Telshe_Yeshiva_(Chicago),5621214,Illinois,high,"Jewish school in Illinois, United States",yeshiva,1960,,,,60625,Q7697844,41.97544444,-87.7175,0,,Private high schools in Chicago
Teutopolis High School,https://en.wikipedia.org/wiki/Teutopolis_High_School,41962209,Illinois,high,"High school in Illinois, United States",high school,,,,173876003944,,Q16877081,39.12916667,-88.48694444,0,,"Schools in Effingham County, Illinois"
Thayer J. Hill Middle School,https://en.wikipedia.org/wiki/Thayer_J._Hill_Middle_School,7889779,Illinois,middle,"Public primary school in Naperville, Illinois, United States",school,,http://hill.ipsd.org,Indian Prairie School District 204,,60563,Q65088809,41.7907,-88.1987,0,,Middle schools in Illinois
"The Einstein Academy (Elgin, Illinois)","https://en.wikipedia.org/wiki/The_Einstein_Academy_(Elgin,_Illinois)",17396860,Illinois,combined,"Private, independent school",school,2002,http://www.einsteinacademy.us/,,,,Q7731672,42.066752,-88.298218,0,,"Private schools in Elgin, Illinois"
Theodore Roosevelt High School (Illinois),https://en.wikipedia.org/wiki/Theodore_Roosevelt_High_School_(Illinois),25662995,Illinois,high,"School in Chicago, Illinois, United States",high school,1922,,Chicago Public Schools,170993001093,60625,Q7781989,41.965,-87.7146,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/RooseveltHSChicago.jpg/330px-RooseveltHSChicago.jpg,Public high schools in Chicago
"Thomas Jefferson High School (Rockford, Illinois)","https://en.wikipedia.org/wiki/Thomas_Jefferson_High_School_(Rockford,_Illinois)",5038856,Illinois,high,"Public secondary school in Rockford, Illinois, United States",high school,1969,http://www2.rps205.com/Schools/HS/Jefferson/Pages/default.aspx,Rockford Public School District 205,173451003585,61109,Q7791265,42.2071,-89.0378,0,,"High schools in Rockford, Illinois"
Thornridge High School,https://en.wikipedia.org/wiki/Thornridge_High_School,20360160,Illinois,high,"Public school in Dolton, Cook County, Illinois, United States",high school,1960,http://www.district205.net/thornridge/,Thornton Township High School District 205,173897003954,60419,Q7796471,41.6189,-87.6001,0,,"Public high schools in Cook County, Illinois"
Thornton Fractional North High School,https://en.wikipedia.org/wiki/Thornton_Fractional_North_High_School,14109141,Illinois,high,"Public secondary school in Calumet City, Illinois, United States",high school,1936,http://TFD215.org/North,Thornton Fractional Township High School District 215,173894003952,60409,Q7796525,,,0,,"Public high schools in Cook County, Illinois"
Thornton Fractional South High School,https://en.wikipedia.org/wiki/Thornton_Fractional_South_High_School,3991721,Illinois,high,"Public secondary school in Lansing, Illinois, United States",high school,1957,http://TFD215.org/South/,Thornton Fractional Township High School District 215,173894003953,60438,Q7796526,,,0,https://upload.wikimedia.org/wikipedia/commons/b/b8/TF_South_Logo.jpg,"Public high schools in Cook County, Illinois"
Thornton Township High School,https://en.wikipedia.org/wiki/Thornton_Township_High_School,8281959,Illinois,high,"Public high school in Illinois, United States",high school,1899,http://www.district205.net/thornton/site/default.asp,Thornton Township High School District 205,173897003955,60426,Q7796561,,,0,,"Public high schools in Cook County, Illinois"
Thornwood High School,https://en.wikipedia.org/wiki/Thornwood_High_School,13496578,Illinois,high,"Public school in South Holland, Illinois, United States",high school,1972,,Thornton Township High School District 205,173897003956,60473,Q7796596,41.58343,-87.60539,0,,"Public high schools in Cook County, Illinois"
Tilden High School (Chicago),https://en.wikipedia.org/wiki/Tilden_High_School_(Chicago),30887125,Illinois,high,"Public secondary school in Chicago, Illinois, United States",high school,1889,http://www.tilden.cps.k12.il.us,Chicago Public Schools,170993001161,60609,Q7802094,41.8075,-87.6425,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Tilden_High_School_%28Chicago%29.jpg/330px-Tilden_High_School_%28Chicago%29.jpg,Public high schools in Chicago
Timothy Christian School (Illinois),https://en.wikipedia.org/wiki/Timothy_Christian_School_(Illinois),12646890,Illinois,combined,"Christian school in lIllinois, United States",school,1911,http://www.timothychristian.com/index.php,,,,Q7807111,41.86575,-87.94197222,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/TimothyMS.jpg/330px-TimothyMS.jpg,"Schools in DuPage County, Illinois"
Tinley Park High School,https://en.wikipedia.org/wiki/Tinley_Park_High_School,7844174,Illinois,high,"Public high school in Illinois, United States",high school,1961,http://www.bhsd228.com/tinley,Bremen Community High School District 228,170705000367,60477,Q7808366,41.57163,-87.76713,0,,"Public high schools in Cook County, Illinois"
Tremont High School,https://en.wikipedia.org/wiki/Tremont_High_School,35410489,Illinois,high,School in the United States,high school,,http://hs.tremont702.net/,,173939003985,,Q7838144,40.52725,-89.49649,0,,"Schools in Tazewell County, Illinois"
Triad High School (Illinois),https://en.wikipedia.org/wiki/Triad_High_School_(Illinois),13283155,Illinois,high,"Public school in Troy, Illinois , United States",high school,1999,https://sites.google.com/a/triadlive.org/triadhs/,Triad Community Unit School District 2,173735003870,,Q7839886,38.71545,-89.85658,0,,"Schools in Madison County, Illinois"
"Trinity High School (River Forest, Illinois)","https://en.wikipedia.org/wiki/Trinity_High_School_(River_Forest,_Illinois)",3678244,Illinois,high,"Private school in River Forest, Illinois, United States",high school,1918,http://www.trinityhs.org,,,60305,Q7842840,41.90194444,-87.81444444,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Trinity_High_School.jpg/330px-Trinity_High_School.jpg,Dominican schools in the United States
"Turner School (Rockford, Illinois)","https://en.wikipedia.org/wiki/Turner_School_(Rockford,_Illinois)",49507896,Illinois,,United States historic place,school building,1898,,,,,Q24040147,42.2525,-89.07472222,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Turner_School.jpg/330px-Turner_School.jpg,"Schools in Rockford, Illinois"
Tuscola Community High School,https://en.wikipedia.org/wiki/Tuscola_Community_High_School,61074263,Illinois,high,"Public high school in Tuscola, Illinois, United States",school,,,,,61953,Q65049076,39.7956,-88.2741,0,,Public high schools in Illinois
UIC College Prep High School,https://en.wikipedia.org/wiki/UIC_College_Prep_High_School,40348515,Illinois,high,"Public secondary charter school in Chicago, Illinois, United States",high school,2008,http://uiccollegeprep.noblenetwork.org/,,,60608,Q16958722,41.86538889,-87.67575,0,,Noble Network of Charter Schools
United Senior High School (Illinois),https://en.wikipedia.org/wiki/United_Senior_High_School_(Illinois),8551058,Illinois,high,"Public secondary school in Street, Monmouth, Illinois, USA",high school,,http://united.k12.il.us/highschool/index.html,,170032105608,,Q7889129,40.90802,-90.59191,0,,"Schools in Warren County, Illinois"
United Township High School,https://en.wikipedia.org/wiki/United_Township_High_School,18436413,Illinois,high,"Public secondary school in East Moline, Illinois, United States",high school,1915,,,173987004008,61244,Q7893606,41.49129,-90.43427,0,,"Schools in Rock Island County, Illinois"
"Unity High School (Mendon, Illinois)","https://en.wikipedia.org/wiki/Unity_High_School_(Mendon,_Illinois)",26311417,Illinois,high,"Public high school in Mendon, Illinois, US",high school,,http://www.cusd4.com/unity-high-school,,172559002771,62351,Q7893793,40.09,-91.29,0,,"Schools in Adams County, Illinois"
"Unity High School (Tolono, Illinois)","https://en.wikipedia.org/wiki/Unity_High_School_(Tolono,_Illinois)",19738576,Illinois,high,"Public, secondary school in Tolono, Illinois, USA",high school,,http://www.unityrockets.com,,173912003973,,Q7893795,39.9942,-88.2493,0,,"Schools in Champaign County, Illinois"
Universal School,https://en.wikipedia.org/wiki/Universal_School,9436214,Illinois,high,"Private, Islamic School, in Bridgeview, Illinois",school,1990,,,,,Q7894057,41.72305556,-87.80194444,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Universal_School.png/330px-Universal_School.png,Islamic schools in Illinois
"University High School (Normal, Illinois)","https://en.wikipedia.org/wiki/University_High_School_(Normal,_Illinois)",7855202,Illinois,high,"Laboratory school in Normal, Illinois, United States",high school,1857,,,,61790,Q7894741,40.5155,-88.99616667,0,,Schools in Bloomington–Normal
"University Laboratory High School (Urbana, Illinois)","https://en.wikipedia.org/wiki/University_Laboratory_High_School_(Urbana,_Illinois)",30863337,Illinois,high,"High school in Urbana, Illinois",high school,1921,https://www.uni.illinois.edu/,,,,Q7894801,40.112907,-88.225402,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Uni_High_Urbana_illinois.jpg/330px-Uni_High_Urbana_illinois.jpg,"Schools in Champaign County, Illinois"
University of Chicago Laboratory Schools,https://en.wikipedia.org/wiki/University_of_Chicago_Laboratory_Schools,2241181,Illinois,high,"Private secondary school in Illinois, US",school,1896,http://www.ucls.uchicago.edu,,,,Q3551351,41.7886,-87.594,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/University_of_Chicago_Laboratory_Schools_exterior.jpg/330px-University_of_Chicago_Laboratory_Schools_exterior.jpg,Private high schools in Chicago
Uplift Community High School,https://en.wikipedia.org/wiki/Uplift_Community_High_School,37925552,Illinois,high,"Public secondary school in Chicago, Illinois, United States",high school,1999,,Chicago Public Schools,170993005787,60640,Q7898378,41.9659,-87.6522,0,,Public high schools in Chicago
Urbana High School (Illinois),https://en.wikipedia.org/wiki/Urbana_High_School_(Illinois),14430263,Illinois,high,"Public high school in Urbana, Illinois",high school,1872,https://uhs.usd116.org/,,173996004015,61801,Q7900207,40.104,-88.2095,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Champaign-Urbana_area_IMG_0980.jpg/330px-Champaign-Urbana_area_IMG_0980.jpg,"Schools in Champaign County, Illinois"
VIT High School,https://en.wikipedia.org/wiki/VIT_High_School,26130548,Illinois,high,"Comprehensive public high school in Table Grove, Fulton County, Illinois, USA",high school,1947,http://www.vit.k12.il.us/,,173849003925,61482,Q7907091,40.35716,-90.41795,0,,"Schools in Fulton County, Illinois"
Vanguard School (Illinois),https://en.wikipedia.org/wiki/Vanguard_School_(Illinois),32061834,Illinois,high,"School in Arlington Heights, Cook County, Illinois, United States",high school,,http://vanguard.d214.org/,,170417001965,60005,Q7914842,42.047,-87.9749,0,,"Public high schools in Cook County, Illinois"
Vaughn Occupational High School,https://en.wikipedia.org/wiki/Vaughn_Occupational_High_School,42195714,Illinois,high,"School in Chicago, Illinois, United States",high school,1968,http://www.vaughn.cps.k12.il.us/,Chicago Public Schools,170993001018,60641,Q17029816,41.96025,-87.76436,0,,Special schools in Illinois
Vernon Hills High School,https://en.wikipedia.org/wiki/Vernon_Hills_High_School,5817096,Illinois,high,"Public secondary school in Vernon Hills, Illinois, United States",high school,1999,http://www.vhhscougars.org/,Community High School District 128,172283004092,60061,Q7922148,42.22805556,-87.95083333,0,,"Schools in Lake County, Illinois"
Victor J. Andrew High School,https://en.wikipedia.org/wiki/Victor_J._Andrew_High_School,5902266,Illinois,high,"Public secondary school in Tinley Park, Illinois, United States",high school,1977,http://andrew.d230.org/,Consolidated High School District 230,170840000460,60487,Q7926028,,,0,,"Public high schools in Cook County, Illinois"
Vienna High School,https://en.wikipedia.org/wiki/Vienna_High_School,53234709,Illinois,high,Public secondary school in Johnson County,high school,,http://www.viennahighschool.com/,,174029004050,62995,Q30621498,37.4206,-88.8945,0,,Public high schools in Illinois
Von Steuben Metropolitan High School,https://en.wikipedia.org/wiki/Von_Steuben_Metropolitan_High_School,4700912,Illinois,high,"Public secondary school in Chicago, Illinois, United States",high school,1928,https://vonsteuben.org/,Chicago Public Schools,170993001180,60625,Q7941522,41.9732,-87.7132,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Von_Steuben_HS.jpeg/330px-Von_Steuben_HS.jpeg,Public high schools in Chicago
Walter Payton College Preparatory High School,https://en.wikipedia.org/wiki/Walter_Payton_College_Preparatory_High_School,3474860,Illinois,high,"Public secondary school in Chicago, Illinois, United States",high school,2000,http://www.wpcp.org,Chicago Public Schools,170993003989,60610,Q7965805,41.901389,-87.634444,0,,Magnet schools in Illinois
Walther Christian Academy,https://en.wikipedia.org/wiki/Walther_Christian_Academy,26061086,Illinois,high,"Private secondary school in Melrose Park, Illinois, United States",high school,1954,http://www.walther.com,,,60160,Q7966668,41.89308333,-87.84561111,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Walther_Christian_Academy%2C_More_Than_College_Prep_Logo.jpg/330px-Walther_Christian_Academy%2C_More_Than_College_Prep_Logo.jpg,"Private high schools in Cook County, Illinois"
"Warren High School (Warren, Illinois)","https://en.wikipedia.org/wiki/Warren_High_School_(Warren,_Illinois)",26401535,Illinois,high,"Public secondary school in Warren, Illinois, United States",high school,,http://www.205warren.net/jrsr_high.htm,Warren Community Unit School District 205,174074004094,61087,Q7970261,42.495,-89.9894,0,,"Schools in Jo Daviess County, Illinois"
Warren Township High School,https://en.wikipedia.org/wiki/Warren_Township_High_School,3074926,Illinois,high,"Public school in Illinois, United States",high school,1917,http://www.d121.org/,,174080004097,60031,Q7970551,42.367244,-87.9153525,0,,"Schools in Lake County, Illinois"
Warsaw High School (Illinois),https://en.wikipedia.org/wiki/Warsaw_High_School_(Illinois),26311786,Illinois,high,"Comprehensive public high school in Warsaw, Illinois, United States",high school,,http://www.hancock.k12.il.us/whs/HighSchool/highschool.htm,Warsaw Community Unit School District 316,174089004102,62379,Q14688221,40.356,-91.429,0,,"Schools in Hancock County, Illinois"
Washington Community High School,https://en.wikipedia.org/wiki/Washington_Community_High_School,11029654,Illinois,high,"Public high school in Washington, Illinois, United States",high school,1920,,,174098004105,61571,Q7971741,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Washington_Community_High_School%2C_Illinois.jpg/330px-Washington_Community_High_School%2C_Illinois.jpg,"Schools in Tazewell County, Illinois"
Waterloo High School (Illinois),https://en.wikipedia.org/wiki/Waterloo_High_School_(Illinois),13143519,Illinois,high,"Public school in Waterloo, Illinois, United States",high school,1895,http://www.wcusd5.net/senior_high/index.html,Waterloo Community Unit School District 5,174107004113,62298,Q7974239,38.3192,-90.1392,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Waterloohighschool.jpg/330px-Waterloohighschool.jpg,"Schools in Monroe County, Illinois"
Waubonsie Valley High School,https://en.wikipedia.org/wiki/Waubonsie_Valley_High_School,1564853,Illinois,high,"Public high school in Aurora, Illinois, United States",high school,1975,http://wvhs.ipsd.org,Indian Prairie School District 204,174169004173,60504,Q7975110,41.73839,-88.25164,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Waubonsie_Valley_High_School.jpeg/330px-Waubonsie_Valley_High_School.jpeg,"Schools in DuPage County, Illinois"
Wauconda High School,https://en.wikipedia.org/wiki/Wauconda_High_School,6427598,Illinois,high,"Public secondary school in Wauconda, Illinois, United States",high school,1915,http://www.d118.org/high,Wauconda Community Unit School District 118,174119004119,60084,Q7975126,42.2675,-88.1474,0,https://upload.wikimedia.org/wikipedia/en/8/84/Wauconda_High_School_Circle_Bulldog_Logo.png,"Schools in Lake County, Illinois"
Waukegan High School,https://en.wikipedia.org/wiki/Waukegan_High_School,6637447,Illinois,high,"Public school in Waukegan, Illinois, United States",high school,1870,http://schools.wps60.org/whs/,Waukegan Community Unit School District 60,174125004141,60085,Q7975149,,,0,,"Schools in Lake County, Illinois"
